Metric,Option 2,Option 4,Difference,% Change
Accuracy,0.7136752136752137,0.7051282051282052,-0.008547008547008517,-1.1976047904191574
F1 Score,0.6968325791855203,0.6790697674418604,-0.0177628117436599,-2.5490788281485965
AUC-ROC,0.8120108485083302,0.8024021697016661,-0.00960867880666405,-1.1833190189903575
Sensitivity,0.8651685393258427,0.8202247191011236,-0.0449438202247191,-5.194805194805195
Specificity,0.6206896551724138,0.6344827586206897,0.01379310344827589,2.2222222222222263
